Codigo,Código Barra 1,Código Barra 2,Producto nombre 1,Producto nombre 2,precio por caja,precio por paquete,Categoria,creador
OLU93943,6936664348339,,OLU939系列香水
100ML,Perfume de 100ml,2000.000,2400.000,香水不上友购,
OLU93923,6936664347363,,OLU939系列香水
100ML,Perfume de 100ml,2000.000,2400.000,香水不上友购,
OLU93930,6936664348209,,OLU939系列香水
100ML,Perfume de 100ml,2000.000,2400.000,香水不上友购,
OLU93911,6936664347240,,OLU939系列香水
100ML,Perfume de 100ml,2000.000,2400.000,香水不上友购,
OLU93951,6936664348414,,OLU939系列香水
100ML,Perfume de 100ml,2000.000,2400.000,香水不上友购,
OLU93917,6936664347301,,OLU939系列香水
100ML,Perfume de 100ml,2000.000,2400.000,香水不上友购,
OLU93964,6936664352480,,OLU939系列香水
100ML,Perfume de 100ml,2000.000,2400.000,香水不上友购,
OLU9393,6936664347165,,OLU939系列香水
100ML,Perfume de 100ml,2000.000,2400.000,香水不上友购,
MY73066,6936664351841,,MY730系列香水
30ML,Perfume de 30ml,1200.000,1450.000,香水不上友购,
olu830227,6936664367842,,OLU830系列香水
30ML,Perfume de 30ml,1850.000,2250.000,香水不上友购,
8953,6934535489532,,礼品袋,,0.000,0.000,,
8956,6934535489563,,礼品袋,,0.000,0.000,,
JLDYN0012,,,8cm鸡蛋花+蝴蝶果冻6色,,680.000,850.000,,
587,,,女士包,,7500.000,9000.000,,
KC1307,6976289192672,,树莓挞派对粉底液 A组,Base De Maquillaje Raspberry Tart Party,2300.000,2800.000,粉底液,
KC1218,6937454000932,,面部精华液 30ML,Serum Facial De Vitamina C 30ml,2200.000,2650.000,精华,
KC1472,6937454003230,,野生力透明眉胶,Gel Transparente Para Cejas Wild Power,890.000,1100.000,眉胶,
KC1451,6937454003025,,巧克力饼干大高光盘,Iluminador Tricolor En Polvo Chocolate Chip Cookies,1800.000,2200.000,高光腮红修容,
KC1447,6937454002981,,巧克力饼干8色脸部盘,Paleta de Sombras de 8 Colores Chocolate Chip Cookies,2300.000,2800.000,高光腮红修容,
KC1775,6937454006279,,甜酪柔光小套盒,Set de Maquillaje Sweet Cream Soft Light de 6pcs,4800.000,5800.000,眼影唇彩套装,
KC1586,6937454004381,,手提鲜花四只装唇彩,Set de 4 Lipgloss,2800.000,3400.000,,
KC1357,6937454002103,,动物狂想曲变色唇油,Aceite Labia Mágico Beastars,1150.000,1400.000,唇油,
KC1574,'6937454004268,,贝壳糖霜小套盒,Set de Maquillaje de Caracola Marina,5500.000,6600.000,,
